Time	Open	High	Low	Close	Volume	spread	SMA	EMA	RSI	MACD
1641920400	1805.63	1807.31	1801.79	1805.95	9230	5	1857.18	1857.18	1857.18	1857.18
1641924000	1805.9	1812.2	1805.37	1811.69	9676	5	1854.54	1854.54	1854.54	1854.54
1641927600	1811.72	1816.76	1810.07	1815.32	8867	5	1857.47	1857.47	1857.47	1857.47
1641931200	1815.33	1817.86	1813.97	1817.56	5107	5	1856.55	1856.55	1856.55	1856.55
1641934800	1817.53	1820.08	1817.24	1820.02	4827	5	1861.3	1861.3	1861.3	1861.3
1641938400	1820.03	1821.19	1818.97	1820.85	3188	5	1861.92	1861.92	1861.92	1861.92
1641942000	1820.75	1823.25	1820.38	1822.97	2955	5	1858.5	1858.5	1858.5	1858.5
1641945600	1823.05	1823.12	1821.43	1821.43	1254	5	1859.38	1859.38	1859.38	1859.38
1641952800	1820.14	1821.74	1820.09	1820.73	1764	5	1860.11	1860.11	1860.11	1860.11
1641956400	1820.61	1822.55	1820.3	1820.86	1907	5	1860.02	1860.02	1860.02	1860.02
1641960000	1820.86	1822.15	1818.41	1819.05	3856	5	1859.67	1859.67	1859.67	1859.67
1641963600	1819.05	1820.45	1818.96	1819.48	2537	5	1859.81	1859.81	1859.81	1859.81
1641967200	1819.47	1819.87	1818.11	1818.19	1752	5	1859.66	1859.66	1859.66	1859.66
1641970800	1818.15	1819.47	1817.74	1818.17	1560	5	1860.99	1860.99	1860.99	1860.99
1641974400	1818.17	1821.54	1818.07	1820.46	2193	5	1861.65	1861.65	1861.65	1861.65
1641978000	1820.46	1821.49	1819.77	1820.07	2351	5	1861.46	1861.46	1861.46	1861.46
1641981600	1820.07	1820.42	1815.82	1817.25	3697	5	1860.09	1860.09	1860.09	1860.09
1641985200	1817.25	1818.3	1814.71	1816.87	4211	5	1859.73	1859.73	1859.73	1859.73
1641988800	1816.9	1817.13	1815.01	1816.34	3297	5	1859.46	1859.46	1859.46	1859.46
1641992400	1816.32	1818.21	1816.02	1817.4	2922	5	1862.54	1862.54	1862.54	1862.54
1641996000	1817.44	1818.55	1816.32	1817.25	2767	5	1867.96	1867.96	1867.96	1867.96
1641999600	1817.27	1819.44	1816.35	1819.42	3658	5	1869.56	1869.56	1869.56	1869.56
1642003200	1819.39	1825.43	1817.33	1821.28	12151	5	1870.48	1870.48	1870.48	1870.48
1642006800	1821.29	1824.45	1818.95	1821.93	9896	5	1873.94	1873.94	1873.94	1873.94
1642010400	1821.92	1824.68	1821.0	1823.84	8323	5	1871.0	1871.0	1871.0	1871.0
1642014000	1823.84	1824.82	1820.12	1824.79	6247	5	1872.84	1872.84	1872.84	1872.84
1642017600	1824.79	1827.01	1823.88	1826.16	4139	5	1872.21	1872.21	1872.21	1872.21
1642021200	1826.1	1827.93	1825.62	1826.09	4262	5	1871.18	1871.18	1871.18	1871.18
1642024800	1826.1	1828.0	1825.88	1827.93	2296	5	1873.05	1873.05	1873.05	1873.05
1642028400	1827.93	1828.01	1825.9	1827.42	2142	5	1874.35	1874.35	1874.35	1874.35
1642032000	1827.43	1827.51	1825.6	1826.14	1250	5	1872.05	1872.05	1872.05	1872.05
1642039200	1825.78	1826.18	1824.89	1825.34	974	5	1872.46	1872.46	1872.46	1872.46
1642042800	1825.22	1825.93	1824.19	1824.3	1846	5	1873.59	1873.59	1873.59	1873.59
1642046400	1824.31	1826.63	1824.1	1825.43	3494	5	1873.64	1873.64	1873.64	1873.64
1642050000	1825.44	1825.64	1824.02	1824.37	2374	5	1875.28	1875.28	1875.28	1875.28
1642053600	1824.36	1825.44	1824.36	1825.19	1711	5	1874.64	1874.64	1874.64	1874.64
1642057200	1825.13	1826.54	1825.08	1825.91	1266	5	1875.28	1875.28	1875.28	1875.28
1642060800	1825.91	1828.14	1825.66	1825.89	2224	5	1875.42	1875.42	1875.42	1875.42
1642064400	1825.9	1826.96	1824.3	1825.24	2908	5	1877.46	1877.46	1877.46	1877.46
1642068000	1825.24	1827.13	1823.43	1826.67	3600	5	1876.83	1876.83	1876.83	1876.83
1642071600	1826.69	1827.6	1820.66	1821.1	5348	5	1877.72	1877.72	1877.72	1877.72
1642075200	1821.1	1822.88	1819.04	1822.82	4301	5	1878.91	1878.91	1878.91	1878.91
1642078800	1822.79	1824.07	1821.85	1822.68	2810	5	1880.11	1880.11	1880.11	1880.11
1642082400	1822.82	1824.19	1822.02	1823.68	2382	5	1882.16	1882.16	1882.16	1882.16
1642086000	1823.68	1826.02	1823.16	1824.31	3884	5	1878.88	1878.88	1878.88	1878.88
1642089600	1824.34	1825.45	1819.24	1821.99	9018	5	1880.34	1880.34	1880.34	1880.34
1642093200	1821.99	1823.83	1817.96	1818.62	8897	5	1880.94	1880.94	1880.94	1880.94
1642096800	1818.63	1820.72	1814.3	1814.71	10262	5	1881.4	1881.4	1881.4	1881.4
1642100400	1814.72	1819.21	1812.35	1819.12	6602	5	1883.56	1883.56	1883.56	1883.56
1642104000	1819.12	1821.42	1818.3	1820.63	5199	5	1879.05	1879.05	1879.05	1879.05
1642107600	1820.61	1821.93	1819.55	1820.42	3844	5	1873.8	1873.8	1873.8	1873.8
1642111200	1820.44	1821.74	1820.2	1821.01	2112	5	1872.18	1872.18	1872.18	1872.18
1642114800	1821.04	1822.35	1820.73	1821.92	2660	5	1872.34	1872.34	1872.34	1872.34
1642118400	1821.95	1822.89	1821.6	1822.71	1106	5	1871.44	1871.44	1871.44	1871.44
1642125600	1821.49	1822.0	1820.78	1820.86	1000	8	1868.96	1868.96	1868.96	1868.96
1642129200	1820.86	1822.01	1819.53	1820.86	2846	5	1868.44	1868.44	1868.44	1868.44
1642132800	1820.86	1824.58	1820.31	1822.34	3930	5	1868.36	1868.36	1868.36	1868.36
1642136400	1822.4	1825.55	1822.28	1825.13	4208	5	1868.82	1868.82	1868.82	1868.82
1642140000	1825.13	1827.3	1824.86	1826.06	2460	5	1870.58	1870.58	1870.58	1870.58
1642143600	1826.06	1827.26	1825.53	1825.99	1680	5	1869.7	1869.7	1869.7	1869.7
1642147200	1825.99	1828.11	1825.88	1827.74	2335	5	1870.58	1870.58	1870.58	1870.58
1642150800	1827.72	1827.83	1826.5	1826.87	3150	5	1872.59	1872.59	1872.59	1872.59
1642154400	1826.86	1828.06	1825.8	1826.78	3693	5	1872.0	1872.0	1872.0	1872.0
1642158000	1826.78	1829.18	1824.35	1824.4	4996	5	1873.41	1873.41	1873.41	1873.41
1642161600	1824.4	1824.66	1821.68	1823.65	4475	5	1873.7	1873.7	1873.7	1873.7
1642165200	1823.65	1824.34	1821.97	1823.66	3164	5	1876.35	1876.35	1876.35	1876.35
1642168800	1823.66	1823.77	1819.91	1822.46	3382	5	1877.08	1877.08	1877.08	1877.08
1642172400	1822.46	1823.88	1819.54	1820.96	5097	5	1876.97	1876.97	1876.97	1876.97
1642176000	1820.96	1827.75	1819.98	1825.52	10983	5	1882.16	1882.16	1882.16	1882.16
1642179600	1825.5	1826.79	1819.27	1824.77	10944	5	1883.82	1883.82	1883.82	1883.82
1642183200	1824.83	1826.01	1820.84	1821.14	8944	5	1887.6	1887.6	1887.6	1887.6
1642186800	1821.15	1821.86	1817.8	1818.64	7290	5	1887.62	1887.62	1887.62	1887.62
1642190400	1818.63	1819.28	1815.24	1815.94	5322	5	1896.52	1896.52	1896.52	1896.52
1642194000	1815.96	1817.62	1814.7	1817.16	4185	5	1913.37	1913.37	1913.37	1913.37
1642197600	1817.18	1819.0	1816.43	1818.25	2693	5	1910.63	1910.63	1910.63	1910.63
1642201200	1818.26	1818.92	1816.43	1816.43	2879	5	1920.85	1920.85	1920.85	1920.85
1642204800	1816.42	1817.8	1816.42	1817.54	1052	6	1922.99	1922.99	1922.99	1922.99
1642384800	1817.35	1818.11	1815.87	1816.42	1157	5	1927.18	1927.18	1927.18	1927.18
1642388400	1816.42	1816.71	1814.65	1815.57	1930	5	1928.35	1928.35	1928.35	1928.35
1642392000	1815.65	1816.57	1813.2	1816.16	4584	5	1928.72	1928.72	1928.72	1928.72
1642395600	1816.19	1818.49	1816.0	1818.22	2662	5	1928.39	1928.39	1928.39	1928.39
1642399200	1818.22	1819.51	1817.97	1818.86	1851	5	1929.6	1929.6	1929.6	1929.6
1642402800	1818.87	1820.27	1818.85	1819.4	1369	5	1925.76	1925.76	1925.76	1925.76
1642406400	1819.39	1820.58	1818.24	1819.55	1920	5	1924.39	1924.39	1924.39	1924.39
1642410000	1819.56	1820.49	1818.73	1819.44	1960	5	1925.76	1925.76	1925.76	1925.76
1642413600	1819.43	1822.34	1818.81	1821.99	3084	5	1921.7	1921.7	1921.7	1921.7
1642417200	1821.98	1823.17	1821.1	1822.51	2927	5	1920.5	1920.5	1920.5	1920.5
1642420800	1822.52	1822.89	1820.63	1821.51	2584	5	1920.49	1920.49	1920.49	1920.49
1642424400	1821.51	1821.95	1819.85	1820.89	1980	5	1920.08	1920.08	1920.08	1920.08
1642428000	1820.9	1821.88	1820.01	1821.36	2475	5	1920.14	1920.14	1920.14	1920.14
1642431600	1821.34	1821.39	1819.37	1819.74	3148	5	1914.88	1914.88	1914.88	1914.88
1642435200	1819.76	1821.25	1819.23	1821.02	4762	5	1909.97	1909.97	1909.97	1909.97
1642438800	1821.02	1821.5	1819.68	1820.17	3567	5	1911.49	1911.49	1911.49	1911.49
1642442400	1820.15	1820.2	1817.7	1818.91	4219	5	1911.63	1911.63	1911.63	1911.63
1642446000	1818.9	1819.43	1818.45	1819.35	2260	5	1916.19	1916.19	1916.19	1916.19
1642449600	1819.34	1820.02	1818.99	1819.27	1170	5	1917.98	1917.98	1917.98	1917.98
1642453200	1819.27	1819.62	1818.2	1818.2	517	5	1915.63	1915.63	1915.63	1915.63
1642456800	1818.2	1819.42	1818.13	1819.11	292	5	1918.73	1918.73	1918.73	1918.73
1642471200	1818.27	1819.44	1818.27	1819.05	592	8	1917.96	1917.96	1917.96	1917.96
1642474800	1819.05	1820.32	1818.6	1820.19	2167	5	1918.17	1918.17	1918.17	1918.17
1642478400	1820.19	1822.41	1819.21	1822.12	4011	5	1921.5	1921.5	1921.5	1921.5
1642482000	1822.15	1822.33	1821.08	1821.8	2889	5	1921.92	1921.92	1921.92	1921.92
1642485600	1821.83	1822.78	1815.31	1816.37	4881	5	1919.16	1919.16	1919.16	1919.16
1642489200	1816.32	1818.02	1815.88	1817.97	3071	5	1919.09	1919.09	1919.09	1919.09
1642492800	1817.94	1818.31	1815.62	1816.2	3661	5	1918.93	1918.93	1918.93	1918.93
1642496400	1816.15	1817.92	1815.31	1817.6	4113	5	1919.76	1919.76	1919.76	1919.76
1642500000	1817.6	1818.02	1812.91	1816.21	5884	5	1919.41	1919.41	1919.41	1919.41
1642503600	1816.21	1817.25	1812.04	1812.04	6232	5	1918.87	1918.87	1918.87	1918.87
1642507200	1812.06	1813.43	1809.2	1810.45	5238	5	1919.41	1919.41	1919.41	1919.41
1642510800	1810.44	1811.34	1809.28	1810.08	3815	5	1916.6	1916.6	1916.6	1916.6
1642514400	1810.06	1814.35	1809.72	1813.08	3508	5	1915.1	1915.1	1915.1	1915.1
1642518000	1813.11	1816.28	1812.69	1815.05	4748	5	1914.79	1914.79	1914.79	1914.79
1642521600	1815.1	1819.86	1805.79	1819.64	13212	5	1916.87	1916.87	1916.87	1916.87
1642525200	1819.77	1820.02	1811.92	1818.21	12307	5	1914.7	1914.7	1914.7	1914.7
1642528800	1818.19	1820.04	1813.58	1819.85	9978	5	1916.43	1916.43	1916.43	1916.43
1642532400	1819.85	1820.07	1810.72	1815.01	8248	5	1917.39	1917.39	1917.39	1917.39
1642536000	1815.07	1815.35	1811.02	1812.16	4952	5	1920.07	1920.07	1920.07	1920.07
1642539600	1812.18	1813.83	1810.61	1813.55	4482	5	1919.28	1919.28	1919.28	1919.28
1642543200	1813.55	1815.86	1813.46	1814.07	3193	5	1923.01	1923.01	1923.01	1923.01
1642546800	1814.0	1815.32	1813.24	1813.76	3638	5	1923.49	1923.49	1923.49	1923.49
1642550400	1813.74	1814.68	1813.08	1813.7	1839	8	1924.07	1924.07	1924.07	1924.07
1642557600	1814.08	1815.14	1814.04	1814.26	1380	8	1926.04	1926.04	1926.04	1926.04
1642561200	1814.26	1814.52	1812.66	1813.37	2748	5	1927.82	1927.82	1927.82	1927.82
1642564800	1813.37	1814.25	1812.24	1812.3	4567	5	1924.05	1924.05	1924.05	1924.05
1642568400	1812.24	1813.47	1811.08	1811.69	4126	5	1926.81	1926.81	1926.81	1926.81
1642572000	1811.69	1812.01	1810.25	1811.7	2939	5	1924.11	1924.11	1924.11	1924.11
1642575600	1811.65	1812.5	1811.13	1811.76	1998	5	1919.87	1919.87	1919.87	1919.87
1642579200	1811.76	1814.24	1811.5	1813.4	3443	5	1922.0	1922.0	1922.0	1922.0
1642582800	1813.4	1814.75	1812.82	1814.27	4585	5	1922.67	1922.67	1922.67	1922.67
1642586400	1814.27	1815.27	1811.32	1811.55	5575	5	1922.95	1922.95	1922.95	1922.95
1642590000	1811.51	1816.02	1811.36	1814.71	5976	5	1924.71	1924.71	1924.71	1924.71
1642593600	1814.71	1817.28	1814.37	1816.91	4528	5	1924.87	1924.87	1924.87	1924.87
1642597200	1816.86	1819.38	1816.19	1818.71	4224	5	1924.71	1924.71	1924.71	1924.71
1642600800	1818.75	1819.94	1817.29	1817.35	4222	5	1927.41	1927.41	1927.41	1927.41
1642604400	1817.35	1819.07	1816.73	1817.84	4288	5	1939.1	1939.1	1939.1	1939.1
1642608000	1817.85	1825.57	1817.76	1824.0	10864	5	1937.26	1937.26	1937.26	1937.26
1642611600	1823.99	1828.39	1822.47	1827.19	10528	5	1937.5	1937.5	1937.5	1937.5
1642615200	1827.12	1838.67	1826.31	1838.28	10748	5	1938.03	1938.03	1938.03	1938.03
1642618800	1838.3	1841.25	1837.1	1840.17	8707	5	1937.08	1937.08	1937.08	1937.08
1642622400	1840.19	1842.66	1839.18	1840.31	6425	5	1936.11	1936.11	1936.11	1936.11
1642626000	1840.29	1842.8	1839.63	1841.79	5914	5	1939.67	1939.67	1939.67	1939.67
1642629600	1841.79	1843.31	1840.93	1842.8	3984	5	1938.43	1938.43	1938.43	1938.43
1642633200	1842.88	1843.32	1841.6	1842.53	3974	5	1944.32	1944.32	1944.32	1944.32
1642636800	1842.61	1842.61	1840.07	1840.63	2527	5	1945.29	1945.29	1945.29	1945.29
1642644000	1840.2	1840.2	1838.29	1838.51	1837	6	1946.23	1946.23	1946.23	1946.23
1642647600	1838.52	1841.42	1837.96	1841.16	2794	5	1948.88	1948.88	1948.88	1948.88
1642651200	1841.13	1844.1	1839.85	1841.35	6614	5	1957.14	1957.14	1957.14	1957.14
1642654800	1841.35	1842.76	1839.23	1839.96	5035	5	1947.02	1947.02	1947.02	1947.02
1642658400	1839.96	1841.6	1839.46	1839.67	3096	5	1945.21	1945.21	1945.21	1945.21
1642662000	1839.66	1840.4	1838.75	1839.88	2179	5	1949.88	1949.88	1949.88	1949.88
1642665600	1839.88	1840.15	1838.42	1839.29	3272	5	1954.04	1954.04	1954.04	1954.04
1642669200	1839.29	1840.7	1838.67	1840.32	4390	5	1950.58	1950.58	1950.58	1950.58
1642672800	1840.28	1841.16	1838.5	1839.14	4642	5	1950.42	1950.42	1950.42	1950.42
1642676400	1839.15	1842.13	1838.5	1839.95	5147	5	1947.69	1947.69	1947.69	1947.69
1642680000	1839.96	1841.25	1837.04	1838.55	5036	5	1950.81	1950.81	1950.81	1950.81
1642683600	1838.55	1839.63	1836.74	1837.2	3427	5	1949.64	1949.64	1949.64	1949.64
1642687200	1837.25	1839.65	1836.79	1839.52	3217	5	1950.81	1950.81	1950.81	1950.81
1642690800	1839.51	1840.57	1835.95	1840.44	5050	5	1950.17	1950.17	1950.17	1950.17
1642694400	1840.42	1846.92	1839.09	1846.45	10194	5	1948.27	1948.27	1948.27	1948.27
1642698000	1846.44	1847.09	1841.96	1846.25	11706	5	1949.65	1949.65	1949.65	1949.65
1642701600	1846.22	1847.92	1843.78	1846.83	10012	5	1946.37	1946.37	1946.37	1946.37
1642705200	1846.83	1846.86	1838.69	1841.81	7317	5	1948.14	1948.14	1948.14	1948.14
1642708800	1841.8	1843.72	1841.8	1842.37	4568	5	1946.92	1946.92	1946.92	1946.92
1642712400	1842.38	1842.56	1840.44	1841.55	4496	5	1948.02	1948.02	1948.02	1948.02
1642716000	1841.57	1841.69	1839.53	1840.14	3533	5	1949.47	1949.47	1949.47	1949.47
1642719600	1840.13	1840.54	1837.32	1838.05	4485	5	1949.72	1949.72	1949.72	1949.72
1642723200	1838.07	1839.53	1838.0	1839.53	2971	5	1950.74	1950.74	1950.74	1950.74
1642730400	1839.26	1839.78	1838.0	1838.99	1842	5	1950.99	1950.99	1950.99	1950.99
1642734000	1839.02	1839.33	1837.68	1838.57	3599	5	1952.15	1952.15	1952.15	1952.15
1642737600	1838.61	1839.03	1836.29	1838.39	6479	5	1954.83	1954.83	1954.83	1954.83
1642741200	1838.39	1841.55	1837.74	1841.19	4961	5	1954.45	1954.45	1954.45	1954.45
1642744800	1841.21	1842.04	1840.7	1840.81	3365	5	1950.35	1950.35	1950.35	1950.35
1642748400	1840.83	1841.96	1840.4	1841.51	1945	5	1956.19	1956.19	1956.19	1956.19
1642752000	1841.38	1842.12	1839.99	1841.37	3003	5	1961.97	1961.97	1961.97	1961.97
1642755600	1841.37	1841.4	1839.79	1840.39	4215	5	1972.73	1972.73	1972.73	1972.73
1642759200	1840.4	1842.76	1837.07	1838.07	5044	5	1973.13	1973.13	1973.13	1973.13
1642762800	1838.07	1839.11	1828.39	1831.66	7364	5	1974.33	1974.33	1974.33	1974.33
1642766400	1831.65	1834.36	1830.51	1834.14	4952	5	1974.15	1974.15	1974.15	1974.15
1642770000	1834.14	1835.81	1833.53	1833.99	3387	5	1977.15	1977.15	1977.15	1977.15
1642773600	1833.98	1834.8	1832.02	1832.03	3992	5	1972.47	1972.47	1972.47	1972.47
1642777200	1832.02	1836.49	1831.14	1835.21	5455	5	1977.15	1977.15	1977.15	1977.15
1642780800	1835.2	1842.0	1834.35	1841.37	9621	5	1974.93	1974.93	1974.93	1974.93
1642784400	1841.37	1843.24	1839.97	1840.72	10973	5	1977.87	1977.87	1977.87	1977.87
1642788000	1840.75	1840.75	1831.94	1834.64	12321	5	1979.45	1979.45	1979.45	1979.45
1642791600	1834.66	1835.2	1831.36	1835.03	8069	5	1977.78	1977.78	1977.78	1977.78
1642795200	1835.04	1835.17	1831.2	1832.81	5250	5	1977.25	1977.25	1977.25	1977.25
1642798800	1832.81	1832.83	1830.19	1832.14	3897	5	1977.62	1977.62	1977.62	1977.62
1642802400	1832.23	1832.62	1830.67	1831.57	2739	5	1979.35	1979.35	1979.35	1979.35
1642806000	1831.56	1831.96	1828.58	1831.92	4898	5	1980.18	1980.18	1980.18	1980.18
1642809600	1831.94	1834.63	1830.76	1834.63	1296	5	1983.75	1983.75	1983.75	1983.75
1642989600	1832.9	1837.15	1832.88	1834.64	1968	5	1982.61	1982.61	1982.61	1982.61
1642993200	1834.64	1834.9	1833.09	1833.25	2681	5	1983.3	1983.3	1983.3	1983.3
1642996800	1833.25	1836.4	1832.57	1836.16	5396	5	1977.34	1977.34	1977.34	1977.34
1643000400	1836.12	1837.41	1835.35	1836.63	3352	5	1978.26	1978.26	1978.26	1978.26
1643004000	1836.63	1837.44	1835.59	1836.53	2456	5	1987.11	1987.11	1987.11	1987.11
1643007600	1836.58	1837.99	1836.23	1837.96	1472	5	1990.95	1990.95	1990.95	1990.95
1643011200	1837.96	1839.65	1836.77	1838.84	3371	5	1991.62	1991.62	1991.62	1991.62
1643014800	1838.84	1839.3	1836.74	1837.65	4249	5	1982.69	1982.69	1982.69	1982.69
1643018400	1837.62	1839.47	1836.44	1838.04	4395	5	1982.54	1982.54	1982.54	1982.54
1643022000	1838.04	1841.7	1837.75	1840.51	6098	5	1980.27	1980.27	1980.27	1980.27
1643025600	1840.53	1844.38	1840.53	1841.2	5583	5	1979.73	1979.73	1979.73	1979.73
1643029200	1841.22	1842.26	1837.54	1839.93	6030	5	1980.3	1980.3	1980.3	1980.3
1643032800	1840.02	1840.4	1837.17	1838.23	5096	5	1971.59	1971.59	1971.59	1971.59
1643036400	1838.23	1840.93	1836.46	1838.56	5464	5	1976.25	1976.25	1976.25	1976.25
1643040000	1838.56	1843.1	1834.66	1835.4	9662	5	1971.59	1971.59	1971.59	1971.59
1643043600	1835.4	1841.13	1832.67	1834.21	12944	5	1966.24	1966.24	1966.24	1966.24
1643047200	1834.19	1836.03	1829.72	1834.38	13242	5	1966.69	1966.69	1966.69	1966.69
1643050800	1834.4	1835.35	1832.57	1835.06	8848	5	1972.68	1972.68	1972.68	1972.68
1643054400	1835.06	1838.6	1833.44	1838.49	8656	5	1973.66	1973.66	1973.66	1973.66
1643058000	1838.5	1843.06	1837.7	1841.18	8938	5	1973.72	1973.72	1973.72	1973.72
1643061600	1841.17	1842.59	1838.58	1838.82	7516	5	1975.73	1975.73	1975.73	1975.73
1643065200	1838.78	1842.41	1837.8	1841.59	7371	5	1975.65	1975.65	1975.65	1975.65
1643068800	1841.36	1844.03	1841.32	1843.16	2560	5	1979.47	1979.47	1979.47	1979.47
1643076000	1842.85	1843.65	1842.02	1843.65	1531	5	1981.45	1981.45	1981.45	1981.45
1643079600	1843.65	1843.65	1842.09	1842.19	2935	5	1977.55	1977.55	1977.55	1977.55
1643083200	1842.22	1843.14	1840.06	1840.15	5086	5	1977.51	1977.51	1977.51	1977.51
1643086800	1840.13	1841.22	1839.43	1840.26	3630	5	1979.39	1979.39	1979.39	1979.39
1643090400	1840.19	1842.22	1840.06	1842.17	2980	5	1977.56	1977.56	1977.56	1977.56
1643094000	1842.2	1843.11	1841.68	1841.99	2128	5	1974.78	1974.78	1974.78	1974.78
1643097600	1842.01	1842.99	1841.27	1841.72	2639	5	1976.25	1976.25	1976.25	1976.25
1643101200	1841.75	1842.76	1840.75	1841.42	3318	5	1975.37	1975.37	1975.37	1975.37
1643104800	1841.42	1843.38	1840.38	1840.84	4416	5	1974.5	1974.5	1974.5	1974.5
1643108400	1840.84	1843.22	1838.77	1838.81	5803	5	1976.19	1976.19	1976.19	1976.19
1643112000	1838.81	1839.38	1837.01	1838.14	4907	5	1977.55	1977.55	1977.55	1977.55
1643115600	1838.11	1839.02	1834.94	1837.82	4141	5	1973.18	1973.18	1973.18	1973.18
1643119200	1837.81	1839.66	1837.06	1837.68	4239	5	1972.61	1972.61	1972.61	1972.61
1643122800	1837.68	1840.44	1837.56	1839.95	4357	5	1973.55	1973.55	1973.55	1973.55
1643126400	1839.97	1843.06	1838.13	1842.64	8878	5	1972.96	1972.96	1972.96	1972.96
1643130000	1842.65	1852.86	1839.34	1850.38	10967	5	1973.55	1973.55	1973.55	1973.55
1643133600	1850.38	1851.32	1841.07	1846.97	12785	5	1973.86	1973.86	1973.86	1973.86
1643137200	1846.93	1849.77	1845.13	1849.4	7873	5	1976.58	1976.58	1976.58	1976.58
1643140800	1849.4	1850.43	1847.57	1849.84	5955	5	1977.64	1977.64	1977.64	1977.64
1643144400	1849.84	1852.58	1849.77	1852.12	6757	5	1976.87	1976.87	1976.87	1976.87
1643148000	1852.09	1853.9	1851.43	1851.81	4368	5	1976.15	1976.15	1976.15	1976.15
